,Title,viewCount,embedHtml,channelTitle,commentCount,likeCount,dislikeCount,tags,favoriteCount,videoId,channelId,categoryId
0,James Baldwin Debates William F. Buckley (1965),1326687,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/oFeoS41xe7w"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",The Riverbends Channel,30,15883,370,"['Black History', 'Public Domain', 'Debate', 'Racism']",0,oFeoS41xe7w,UCGm5Oqp5rAbaC-BoVPaPKnQ,1
1,I Am Not Your Negro - Official Trailer,1183194,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/rNUYdgIyaPM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Magnolia Pictures & Magnet Releasing,1052,7538,362,"['i am not your negro', 'james baldwin', 'magnolia pictures', 'raoul peck', 'documentary', 'civil rights', 'race', 'america', 'african america', 'malcolm x', 'martin luther king jr', 'black lives matter', 'racial narrative', 'BLM']",0,rNUYdgIyaPM,UCneoi6WTgRjMh4otvpwzv8w,1
2,"Malcolm X - Debate with James Baldwin - September 5, 1963",830867,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/-JIp9_IIV3s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Donnie Mossberg,1688,7458,223,"['Debate', 'James', 'Baldwin', 'Malcolm X', 'El Hajj Malik El Shabazz']",0,-JIp9_IIV3s,UCY_VOhA1MtNRfEZfL-B_-cw,27
3,I Am Not Your Negro Official Trailer 1 (2016) - James Baldwin Documentary,533698,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8ol9Tf39jh8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Movieclips Indie,950,6822,490,"['I Am Not Your Negro', 'I Am Not Your Negro movie', 'I Am Not Your Negro trailer', 'modern america', 'race', 'black', 'african american', 'remember the house', 'James Baldwin', 'Raoul Peck', 'samuel l. jackson', 'movieclips', 'movieclips indie', 'documentary']",0,8ol9Tf39jh8,UCLyYEq4ODlw3OD9qhGqwimw,1
4,Who is the Nigger? -James Baldwin (clip),513098,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/L0L5fciA6AU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",twreflect,575,5524,78,"['Race', 'racism', 'black', 'history', 'James Baldwin', 'San Francisco', 'KQED']",0,L0L5fciA6AU,UCd807WaChWS8REGsTb6cR3A,27
5,James Baldwin - Pin Drop Speech,351259,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NUBh9GqFU3A"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",GLAZAR,1117,9805,127,"['speech', 'BLM', 'Black Lives Matter', 'William F. Buckley', 'National Review', 'James Baldwin', 'I Am Not Your Negro', 'civil rights', 'debate', 'politics', 'academic', 'intellectual']",0,NUBh9GqFU3A,UCpfGoIOxNwJFLoPSApPerXw,25
6,James Baldwin on the Dick Cavett Show,317697,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/a6WlM1dca18"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",xdarling7,[],3413,22,"['James Baldwin', 'PBS', 'Price of the Ticket', 'American Masters']",0,a6WlM1dca18,UCYvzX5XVo72WRR7h-8LsrQg,2
7,James Baldwin: the Price of the Ticket,255490,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/4_hYraYI2J8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",California Newsreel,27,1848,25,"['California Newsreel', 'non-profit', 'African American History', 'James Baldwin', 'Black History', 'Civil Rights Movement', 'American Literature']",0,4_hYraYI2J8,UCyOm78dwYL9bqQRze1Obrng,29
8,"James Baldwin and America's ""racial problem""",193995,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/hnIjXmfTSYg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Jose Antonio Vargas,199,3086,44,[],0,hnIjXmfTSYg,UCBqD7XwQxZ4tBSacPEgdcEw,22
9,Dr. Cornel West on the Unpopular James Baldwin,182619,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/X2kH6kSY6ps"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Radio Open Source,249,3925,90,[],0,X2kH6kSY6ps,UCoDby8iimo21CTNuIyimpVQ,22
10,"Martin Luther King, Jr. on Income Inequality and Redistribution of Wealth + James Baldwin",174905,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Hgwtd4X_qFM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Insaaf Blog,402,2831,48,[],0,Hgwtd4X_qFM,UC-XScFFt2LDLBEzxMXh7njw,25
11,Civil Rights 1963 - James Baldwin and Marlon Brando,148645,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/ZjZBZxPk4Pc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",TheHistoryTV,418,2051,36,"['James Baldwin (Author)', 'Marlon Brando (Theater Actor)', 'African-American Civil Rights Movement (1955--1968) (Event)', 'History', 'Civil Rights Movement (Literary School Or Movement)', 'Culture', 'Martin Luther King Jr. (Author)', 'March On Washington For Jobs And Freedom (Protest)']",0,ZjZBZxPk4Pc,UClR2okHO38h_5U3lmuPi_6w,27
